,text,query,variables,orig_id,db_id,db_path,testsuite,improved_qn
0,return me the year of Making database systems usable .,"SELECT PUBLICATIONalias0.YEAR FROM PUBLICATION AS PUBLICATIONalias0 WHERE PUBLICATIONalias0.TITLE = ""Making database systems usable"" ;","[{'example': 'Making database systems usable', 'location': 'both', 'name': 'publication_title0', 'type': 'publication_title', 'ancestor_of_occuring_column': {('publication', 'TITLE')}}]","('academic', 3)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1226round21group11.sqlite', 'database/academic/academicv1223round40group3.sqlite', 'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round20group11.sqlite', 'database/academic/academicv1226round23group11.sqlite', 'database/academic/academicv1226round22group11.sqlite', 'database/academic/academicv1226round24group11.sqlite', 'database/academic/academicv1223round10group11.sqlite'}","return me the year of the publication of the paper with title ""Making database systems usable"""
1,return me the papers after 2000 .,SELECT PUBLICATIONalias0.TITLE FROM PUBLICATION AS PUBLICATIONalias0 WHERE PUBLICATIONalias0.YEAR > 2000 ;,"[{'example': '2000', 'location': 'both', 'name': 'publication_year0', 'type': 'publication_year', 'ancestor_of_occuring_column': {('publication', 'YEAR')}}]","('academic', 4)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite', 'database/academic/academicv1223round40group4.sqlite'}",return me all the titles of the paper after year 2000
2,return me all the keywords .,SELECT KEYWORDalias0.KEYWORD FROM KEYWORD AS KEYWORDalias0 ;,[],"('academic', 6)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round40group6.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite'}",return me all the keywords
3,return me the references of Making database systems usable .,"SELECT PUBLICATIONalias0.REFERENCE_NUM FROM PUBLICATION AS PUBLICATIONalias0 WHERE PUBLICATIONalias0.TITLE = ""Making database systems usable"" ;","[{'example': 'Making database systems usable', 'location': 'both', 'name': 'publication_title0', 'type': 'publication_title', 'ancestor_of_occuring_column': {('publication', 'TITLE')}}]","('academic', 10)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1226round21group11.sqlite', 'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round20group11.sqlite', 'database/academic/academicv1226round23group11.sqlite', 'database/academic/academicv1226round22group11.sqlite', 'database/academic/academicv1226round24group11.sqlite', 'database/academic/academicv1223round10group11.sqlite', 'database/academic/academicv1223round40group10.sqlite'}","return me the reference number of the paper with title ""Making database systems usable"""
4,return me the authors who have papers in VLDB conference in 2002 .,"SELECT AUTHORalias0.NAME FROM AUTHOR AS AUTHORalias0 , CONFERENCE AS CONFERENCEalias0 , PUBLICATION AS PUBLICATIONalias0 , WRITES AS WRITESalias0 WHERE CONFERENCEalias0.NAME = ""VLDB"" AND PUBLICATIONalias0.CID = CONFERENCEalias0.CID AND PUBLICATIONalias0.YEAR = 2002 AND WRITESalias0.AID = AUTHORalias0.AID AND WRITESalias0.PID = PUBLICATIONalias0.PID ;","[{'example': 'VLDB', 'location': 'both', 'name': 'conference_name0', 'type': 'conference_name', 'ancestor_of_occuring_column': {('conference', 'NAME')}}, {'example': '2002', 'location': 'both', 'name': 'publication_year0', 'type': 'publication_year', 'ancestor_of_occuring_column': {('publication', 'YEAR')}}]","('academic', 15)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round40group15.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite'}","return me the author name who have papers in VLDB conference in 2002 along with conference name, publication and writes."
5,return me the area of PVLDB .,"SELECT DOMAINalias0.NAME FROM DOMAIN AS DOMAINalias0 , DOMAIN_JOURNAL AS DOMAIN_JOURNALalias0 , JOURNAL AS JOURNALalias0 WHERE DOMAINalias0.DID = DOMAIN_JOURNALalias0.DID AND JOURNALalias0.JID = DOMAIN_JOURNALalias0.JID AND JOURNALalias0.NAME = ""PVLDB"" ;","[{'example': 'PVLDB', 'location': 'both', 'name': 'journal_name0', 'type': 'journal_name', 'ancestor_of_occuring_column': {('journal', 'NAME')}}]","('academic', 19)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round40group19.sqlite', 'database/academic/academicv1223round11group10.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite'}",return me the research domain associated with the PVLDB journal
6,"return me the journals, which have papers by H. V. Jagadish .","SELECT JOURNALalias0.NAME FROM AUTHOR AS AUTHORalias0 , JOURNAL AS JOURNALalias0 , PUBLICATION AS PUBLICATIONalias0 , WRITES AS WRITESalias0 WHERE AUTHORalias0.NAME = ""H. V. Jagadish"" AND PUBLICATIONalias0.JID = JOURNALalias0.JID AND WRITESalias0.AID = AUTHORalias0.AID AND WRITESalias0.PID = PUBLICATIONalias0.PID ;","[{'example': 'H. V. Jagadish', 'location': 'both', 'name': 'author_name0', 'type': 'author_name', 'ancestor_of_occuring_column': {('author', 'NAME')}}]","('academic', 23)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round40group23.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite'}","return me the journals that have published papers authored by ""H. V. Jagadish"""
7,return me the papers on PVLDB after 2000 .,"SELECT PUBLICATIONalias0.TITLE FROM JOURNAL AS JOURNALalias0 , PUBLICATION AS PUBLICATIONalias0 WHERE JOURNALalias0.NAME = ""PVLDB"" AND PUBLICATIONalias0.JID = JOURNALalias0.JID AND PUBLICATIONalias0.YEAR > 2000 ;","[{'example': 'PVLDB', 'location': 'both', 'name': 'journal_name0', 'type': 'journal_name', 'ancestor_of_occuring_column': {('journal', 'NAME')}}, {'example': '2000', 'location': 'both', 'name': 'publication_year0', 'type': 'publication_year', 'ancestor_of_occuring_column': {('publication', 'YEAR')}}]","('academic', 30)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round11group10.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite', 'database/academic/academicv1223round40group30.sqlite'}",return me list the titles of papers published in the PVLDB journal after the year 2000?
8,return me the papers by H. V. Jagadish after 2000 .,"SELECT PUBLICATIONalias0.TITLE FROM AUTHOR AS AUTHORalias0 , PUBLICATION AS PUBLICATIONalias0 , WRITES AS WRITESalias0 WHERE AUTHORalias0.NAME = ""H. V. Jagadish"" AND PUBLICATIONalias0.YEAR > 2000 AND WRITESalias0.AID = AUTHORalias0.AID AND WRITESalias0.PID = PUBLICATIONalias0.PID ;","[{'example': 'H. V. Jagadish', 'location': 'both', 'name': 'author_name0', 'type': 'author_name', 'ancestor_of_occuring_column': {('author', 'NAME')}}, {'example': '2000', 'location': 'both', 'name': 'publication_year0', 'type': 'publication_year', 'ancestor_of_occuring_column': {('publication', 'YEAR')}}]","('academic', 34)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round23group9.sqlite', 'database/academic/academicv1226round20group9.sqlite', 'database/academic/academicv1223round40group34.sqlite', 'database/academic/academicv1226round21group9.sqlite', 'database/academic/academicv1226round24group9.sqlite', 'database/academic/academicv1226round22group9.sqlite', 'database/academic/academicv1223round10group7.sqlite'}","return me the titles of papers authored by ""H. V. Jagadish"" that were published after the year 2000."
9,return me the keywords of Making database systems usable .,"SELECT KEYWORDalias0.KEYWORD FROM KEYWORD AS KEYWORDalias0 , PUBLICATION AS PUBLICATIONalias0 , PUBLICATION_KEYWORD AS PUBLICATION_KEYWORDalias0 WHERE PUBLICATION_KEYWORDalias0.KID = KEYWORDalias0.KID AND PUBLICATIONalias0.PID = PUBLICATION_KEYWORDalias0.PID AND PUBLICATIONalias0.TITLE = ""Making database systems usable"" ;","[{'example': 'Making database systems usable', 'location': 'both', 'name': 'publication_title0', 'type': 'publication_title', 'ancestor_of_occuring_column': {('publication', 'TITLE')}}]","('academic', 41)",academic,database/academic/academic.sqlite,"{'database/academic/academicv1226round21group11.sqlite', 'database/academic/academicv1223round50.sqlite', 'database/academic/academicv1226round20group11.sqlite', 'database/academic/academicv1226round23group11.sqlite', 'database/academic/academicv1223round10group2.sqlite', 'database/academic/academicv1223round40group41.sqlite', 'database/academic/academicv1226round22group11.sqlite', 'database/academic/academicv1226round24group11.sqlite'}","return me the keywords associated with the publication titled ""Making database systems usable"""
