,Unnamed: 0,question,masked_question,masked_question_toks,query,schema_toks,tables,columns,sql_keywords,join_involved,keywords_pred,accuracy_on_target,accuracy_on_prediction
5044,5044,What is the total number of enrollment of schools that do not have any goalie player?,What is the total number of [MASK] of schools that do not have any [MASK] [MASK],"['What', 'is', 'the', 'total', 'number', 'of', '[MASK]', 'of', 'schools', 'that', 'do', 'not', 'have', 'any', '[MASK]', '[MASK]']","SELECT sum(enr) FROM college WHERE cName NOT IN (SELECT cName FROM tryout WHERE pPos  =  ""goalie"")","['tryout', 'college', 'pPos', 'enr', 'cName', 'goalie']","[('tryout', ''), ('college', '')]","['pPos', 'enr', 'cName', 'goalie']","where,in,sum,not,select,from",False,"['where', 'in', 'count', 'not']",0.75,0.75
6497,6497,Find the number of scientists involved for the projects that require more than 300 hours.,Find the number of scientists involved for the [MASK] that require more than 300 [MASK],"['Find', 'the', 'number', 'of', 'scientists', 'involved', 'for', 'the', '[MASK]', 'that', 'require', 'more', 'than', '300', '[MASK]']","SELECT count(*) ,  T1.name FROM projects AS T1 JOIN assignedto AS T2 ON T1.code  =  T2.project WHERE T1.hours  >  300 GROUP BY T1.name","['assignedto', 'projects', 'hours', 'code', 'project', 'name']","[('assignedto', 'T2'), ('projects', 'T1')]","['hours', 'code', 'project', 'name']","as,group,join,count,where,select,from",True,"['as', 'group', 'join', 'count', 'where']",1.0,1.0
2218,2218,What are the names of all the Japanese constructors that have earned more than 5 points?,What are the [MASK] of all the [MASK] [MASK] that have earned more than 5 [MASK],"['What', 'are', 'the', '[MASK]', 'of', 'all', 'the', '[MASK]', '[MASK]', 'that', 'have', 'earned', 'more', 'than', '5', '[MASK]']","SELECT T1.name FROM constructors AS T1 JOIN constructorstandings AS T2 ON T1.constructorid = T2.constructorid WHERE T1.nationality = ""Japanese"" AND T2.points > 5","['constructorstandings', 'constructors', 'points', 'name', 'nationality', 'constructorid', 'Japanese']","[('constructorstandings', 'T2'), ('constructors', 'T1')]","['points', 'name', 'nationality', 'constructorid', 'Japanese']","as,join,from,and,select,where",True,"['group', 'count', 'having']",0.0,0.0
355,355,Show the id and name of the aircraft with the maximum distance.,Show the [MASK] and [MASK] of the [MASK] with the maximum [MASK],"['Show', 'the', '[MASK]', 'and', '[MASK]', 'of', 'the', '[MASK]', 'with', 'the', 'maximum', '[MASK]']","SELECT aid ,  name FROM Aircraft ORDER BY distance DESC LIMIT 1","['Aircraft', 'aid', 'distance', 'name']","[('Aircraft', '')]","['aid', 'distance', 'name']","limit,order,select,desc,from",False,"['limit', 'order', 'desc']",1.0,1.0
5786,5786,"What is the description of the product named ""Chocolate""?",What is the [MASK] of the [MASK] [MASK] [MASK],"['What', 'is', 'the', '[MASK]', 'of', 'the', '[MASK]', '[MASK]', '[MASK]']","SELECT product_description FROM products WHERE product_name  =  ""Chocolate""","['products', 'Chocolate', 'product_description', 'product_name']","[('products', '')]","['Chocolate', 'product_description', 'product_name']","select,from,where",False,['where'],1.0,1.0
1319,1319,"Show the dates of performances with attending members whose roles are ""Violin"".",Show the [MASK] of [MASK] with [MASK] [MASK] whose [MASK] are [MASK],"['Show', 'the', '[MASK]', 'of', '[MASK]', 'with', '[MASK]', '[MASK]', 'whose', '[MASK]', 'are', '[MASK]']","SELECT T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID WHERE T2.Role  =  ""Violin""","['member', 'member_attendance', 'performance', 'Violin', 'Role', 'Date', 'Member_ID', 'Performance_ID']","[('member', 'T2'), ('member_attendance', 'T1'), ('performance', 'T3')]","['Violin', 'Role', 'Date', 'Member_ID', 'Performance_ID']","as,join,from,select,where",True,['where'],0.3333333333333333,1.0
1979,1979,List the names of phones in ascending order of price.,List the [MASK] of [MASK] in ascending order of [MASK],"['List', 'the', '[MASK]', 'of', '[MASK]', 'in', 'ascending', 'order', 'of', '[MASK]']",SELECT Name FROM phone ORDER BY Price ASC,"['phone', 'Name', 'Price']","[('phone', '')]","['Name', 'Price']","select,asc,order,from",False,"['asc', 'order']",1.0,1.0
447,447,Show all allergies with type food.,Show all [MASK] with [MASK] [MASK],"['Show', 'all', '[MASK]', 'with', '[MASK]', '[MASK]']","SELECT DISTINCT allergy FROM Allergy_type WHERE allergytype  =  ""food""","['Allergy_type', 'food', 'allergytype', 'allergy']","[('Allergy_type', '')]","['food', 'allergytype', 'allergy']","distinct,select,from,where",False,[],,
2007,2007,Show all main industry and total market value in each industry.,Show all [MASK] [MASK] and total [MASK] [MASK] in each [MASK],"['Show', 'all', '[MASK]', '[MASK]', 'and', 'total', '[MASK]', '[MASK]', 'in', 'each', '[MASK]']","SELECT main_industry ,  sum(market_value) FROM company GROUP BY main_industry","['company', 'market_value', 'main_industry']","[('company', '')]","['market_value', 'main_industry']","select,sum,from,group",False,"['count', 'group']",0.5,0.5
3707,3707,Which cities have 2 to 4 parks?,Which [MASK] have 2 to 4 [MASK],"['Which', '[MASK]', 'have', '2', 'to', '4', '[MASK]']",SELECT city FROM park GROUP BY city HAVING count(*) BETWEEN 2 AND 4;,"['park', 'city']","[('park', '')]",['city'],"group,count,and,having,between,select,from",False,"['group', 'count', 'having']",0.6,1.0
